AFC Bournemouth-24-10
Burnley-19-8
Chelsea-17-10
Crystal Palace-18-10
Everton-23-10
Hull City-13-10
Leicester City-17-10
Liverpool-14-10
Manchester City-16-10
Manchester United-14-10
Middlesbrough-14-10
Arsenal-9-10
Stoke City-13-10
Sunderland-18-10
Swansea City-8-10
Tottenham Hotspur-10-10
Watford-15-10
West Bromwich Albion-10-10
West Ham United-15-10
Southampton-6-10
